Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-January-2021,1008.50,1029.80,1000.90,1026.80,1018.820382517872442665,220591,4987,224742607.00,40984,18.58,28.90,18.30
1-January-2021,979.00,1009.80,975.50,1000.55,998.809061856171828107,184929,6087,184708761.00,32872,17.78,34.30,21.55
31-December-2020,975.10,994.50,973.80,976.70,983.901278158994223063,105073,3299,103381459.00,13530,12.88,20.70,1.60
30-December-2020,978.00,979.35,965.00,977.30,973.057655467897089418,48547,1667,47239030.00,8628,17.77,14.35,-0.70
29-December-2020,988.00,992.85,971.45,977.10,980.847445817595071326,109076,4150,106986916.00,33656,30.86,21.40,-10.90
28-December-2020,988.55,989.00,975.25,984.00,982.453241249411395385,127420,3558,125184192.00,39407,30.93,13.75,-4.55
24-December-2020,971.00,981.60,962.00,976.15,973.042844384907345389,89580,2780,87165178.00,15954,17.81,19.60,5.15
23-December-2020,960.00,969.80,950.10,963.00,961.142197409213116019,77737,1872,74716311.00,9643,12.40,19.70,3.00
22-December-2020,944.00,962.45,914.60,954.40,939.906096421887841151,302981,6782,284773689.00,25013,8.26,47.85,10.40
21-December-2020,987.70,991.80,875.00,930.30,953.063097283529359691,497042,18602,473712388.00,90822,18.27,116.80,-57.40
18-December-2020,972.00,977.00,955.90,972.20,970.228400499155839389,81738,2447,79304529.00,9609,11.76,21.10,0.20
17-December-2020,965.00,984.60,961.40,970.40,974.324537970452481336,375463,11983,365822814.00,124919,33.27,23.20,5.40
16-December-2020,950.25,963.80,942.20,960.55,954.880523715415019762,101200,3277,96633909.00,17564,17.36,21.60,10.30
15-December-2020,950.00,966.00,942.00,944.15,953.976556075274665506,229825,6080,219247662.00,26848,11.68,24.00,-5.85
14-December-2020,942.25,949.80,937.75,941.25,942.477792517909259750,94225,3537,88804970.00,33254,35.29,12.05,-1.00
11-December-2020,945.00,949.70,929.60,939.50,941.236166387199741408,49499,2022,46590249.00,14716,29.73,20.10,-5.50
