Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,2.85,3.37,2.74,3.37,3.156276636677325407,62650926,20595,197743654.00,26548367,42.38,0.63,0.52
4-January-2021,2.44,2.84,2.40,2.81,2.715883986553315270,104747306,19725,284481531.00,50612955,48.32,0.44,0.37
1-January-2021,2.37,2.39,2.33,2.37,2.365922772264547319,7339617,5704,17364967.00,4085263,55.66,0.06,0.00
31-December-2020,2.40,2.44,2.33,2.35,2.370904397598249190,9355675,13897,22181411.00,5347480,57.16,0.11,-0.05
30-December-2020,2.43,2.46,2.35,2.38,2.390399025185550831,7852161,9507,18769798.00,4222016,53.77,0.11,-0.05
29-December-2020,2.52,2.56,2.37,2.46,2.468720247220528990,13949327,11707,34436986.00,6576542,47.15,0.19,-0.06
28-December-2020,2.39,2.53,2.28,2.45,2.407959313205955125,20303787,23135,48890693.00,9917814,48.85,0.25,0.06
24-December-2020,2.40,2.58,2.32,2.35,2.433910925777508833,23226585,9241,56531439.00,14249465,61.35,0.26,-0.05
23-December-2020,2.15,2.54,2.13,2.50,2.434053524340513498,60703896,55764,147756532.00,39033077,64.30,0.41,0.35
22-December-2020,2.05,2.14,1.95,2.12,2.062264395128187677,16427398,13112,33877638.00,8352475,50.84,0.19,0.07
21-December-2020,2.31,2.41,1.91,2.05,2.162592239086521210,43432645,15560,93927101.00,19046389,43.85,0.50,-0.26
18-December-2020,2.38,2.40,2.14,2.29,2.238720537950735099,27555237,8647,61688475.00,10609647,38.50,0.26,-0.09
17-December-2020,2.17,2.53,2.17,2.35,2.353369481810558038,113816136,28026,267851421.00,41659220,36.60,0.36,0.18
16-December-2020,2.09,2.25,2.08,2.21,2.141570625875347371,62284559,14231,133386782.00,32996140,52.98,0.17,0.12
15-December-2020,2.29,2.29,2.02,2.07,2.104028816420656227,60005787,19741,126253905.00,33588286,55.98,0.27,-0.22
14-December-2020,2.15,2.46,1.97,2.26,2.275995021183715550,90961380,23937,207027648.00,41255868,45.36,0.49,0.11
11-December-2020,2.02,2.34,2.00,2.05,2.112842961211253334,29039144,4077,61355151.00,16802947,57.86,0.34,0.03
10-December-2020,2.14,2.15,1.97,1.99,2.026801038451982990,4914623,4589,9960963.00,3826235,77.85,0.18,-0.15
9-December-2020,2.18,2.25,2.01,2.10,2.141753256622144652,6882438,5921,14740484.00,3997886,58.09,0.24,-0.08
8-December-2020,2.39,2.41,2.13,2.17,2.248188042760664989,4915265,1799,11050440.00,2785628,56.67,0.28,-0.22
7-December-2020,2.27,2.59,2.22,2.29,2.377465258673128166,11502799,6741,27347505.00,7308870,63.54,0.37,0.02
4-December-2020,2.19,2.19,2.12,2.16,2.173923849898949966,7173674,1104,15595021.00,3975890,55.42,0.07,-0.03
3-December-2020,2.01,2.10,1.99,2.09,2.056629330474693896,5850802,7060,12032931.00,3196958,54.64,0.11,0.08
2-December-2020,2.01,2.03,1.98,2.00,1.995898358817608184,1901434,2357,3795069.00,1479318,77.80,0.05,-0.01
1-December-2020,1.97,2.07,1.97,2.00,2.006871490518112601,4782223,819,9597307.00,2276168,47.60,0.10,0.03
27-November-2020,1.99,2.02,1.97,1.98,1.989205352787733548,1367437,1643,2720113.00,1088357,79.59,0.05,-0.01
26-November-2020,1.99,1.99,1.96,1.98,1.971314477271071025,809607,379,1595990.00,491888,60.76,0.03,-0.01
25-November-2020,1.98,2.07,1.96,1.97,2.009117652109611652,3843314,766,7721670.00,1316286,34.25,0.11,-0.01
24-November-2020,1.99,1.99,1.96,1.98,1.974962833674664187,1140145,281,2251744.00,923566,81.00,0.03,-0.01
23-November-2020,2.03,2.03,1.96,1.98,1.975086889219895440,992931,254,1961125.00,785378,79.10,0.07,-0.05
20-November-2020,1.97,2.00,1.95,1.98,1.968733484860853910,930964,5655,1832820.00,710792,76.35,0.05,0.01
19-November-2020,2.01,2.01,1.96,1.97,1.986589510425277854,849186,6610,1686984.00,606599,71.43,0.05,-0.04
18-November-2020,2.00,2.03,1.98,2.02,2.008657035504397333,1089865,10682,2189165.00,687165,63.05,0.05,0.02
17-November-2020,2.07,2.07,1.98,2.00,2.000840505080198545,1183812,5256,2368619.00,700657,59.19,0.09,-0.07
14-November-2020,1.98,2.04,1.98,2.03,2.017409902392839871,587252,295,1184728.00,429849,73.20,0.06,0.05
13-November-2020,1.99,1.99,1.96,1.98,1.979508676242934802,444432,286,879757.00,295221,66.43,0.03,-0.01
12-November-2020,1.94,1.98,1.94,1.96,1.960224320853189306,758378,2552,1486591.00,556458,73.37,0.04,0.02
11-November-2020,1.97,1.98,1.93,1.96,1.947923884458055745,1629365,8573,3173879.00,1082045,66.41,0.05,-0.01
10-November-2020,1.96,2.00,1.92,1.97,1.965250784461214568,1665793,591,3273701.00,1146253,68.81,0.08,0.01
